shank,sua,cell,odor_count,spike_snr,isolation_distance,l_ratio,good
1,2,1,10,"[0.30877305 0.42751226 1.00864688 3.00266705 3.42570829 1.24914471
 0.68115153 0.67884228]",29.98741340637207,0.8011904954910278,1
1,2,2,10,"[0.43853243 0.57425987 1.47349944 4.83382833 5.06163803 1.29659758
 0.87321176 0.8250706 ]",33.00703430175781,0.4417911171913147,1
1,2,3,10,"[0.36221475 0.51064175 1.0468331  1.62468811 4.31503134 1.15357931
 0.71880096 0.50421243]",23.863245010375977,1.2399626970291138,1
1,2,4,10,"[0.41471011 0.91902806 0.92814824 3.5394486  4.1756136  1.08873979
 0.87494453 0.5671336 ]",25.583110809326172,1.507188081741333,1
1,2,5,10,"[0.42509441 0.52478468 1.49915217 3.6586015  3.3158536  1.43365285
 0.88489223 0.6434332 ]",14.70988941192627,13.943238258361816,1
1,2,6,10,"[0.42146118 0.7608475  1.99361672 7.45396608 3.54620415 2.04619284
 0.9462181  0.78455769]",36.023529052734375,0.23405613005161285,1
1,2,7,10,"[0.42621652 0.64760699 1.60391307 6.4444206  3.76833172 1.18163449
 0.67487518 0.48318023]",42.585540771484375,0.061632152646780014,1
1,2,8,10,"[0.37626251 0.73950566 1.26920895 4.55901526 5.32046327 1.41882256
 0.68689807 0.68793796]",57.95227813720703,0.02026452124118805,1
1,2,9,10,"[0.58473942 1.31942794 2.72920763 7.31690224 4.02927975 1.72796689
 1.15825511 0.7255064 ]",32.981163024902344,0.4456287622451782,1
1,3,0,10,"[0.4009574  0.51464351 1.11796673 4.42831641 2.94026486 1.01796782
 0.73753675 0.36997596]",23.862438201904297,1.9827027320861816,1
1,3,1,10,"[0.39695879 0.9456448  1.99166004 3.16930445 1.44559131 0.57396858
 0.56982348 0.36726833]",21.94040870666504,3.051976442337036,1
1,3,2,10,"[0.34849985 0.36754304 0.95877846 1.708699   2.50883318 0.65424435
 0.54240844 0.40707546]",68.63218688964844,0.012590833939611912,1
1,3,3,10,"[0.1617341  0.32026393 0.45488401 4.11607151 1.97406634 0.54016733
 0.35359268 0.37432067]",38.29890823364258,0.1687082201242447,1
2,0,0,10,"[0.72007642 0.93949375 2.32603179 5.33782099 4.75037199 1.64603993
 1.3309381  1.01956373]",43.51381301879883,0.07043585926294327,1
2,0,1,10,"[0.30525666 0.48758313 1.17596035 5.15285762 4.86917663 1.9617025
 1.11291902 0.52503722]",126.03388977050781,0.006477649323642254,1
2,0,2,10,"[0.48778803 0.63648288 1.52642225 2.76967889 3.45332506 1.19901082
 0.9017386  0.64036991]",39.354434967041016,0.1346433311700821,1
2,1,0,10,"[0.89693816 1.42487014 3.16907483 8.3484631  5.51542405 2.47366031
 1.63415781 1.30537104]",39.42144775390625,0.228617325425148,1
2,1,1,10,"[0.1825387  0.37006034 0.62983487 2.34540323 4.28117687 1.49496564
 0.67934985 0.33383582]",34.82328796386719,0.30576422810554504,1
2,1,2,10,"[0.18659306 0.32641339 0.65398013 2.80439636 3.99628461 1.26012436
 0.65245786 0.31269646]",45.58488082885742,0.12253840267658234,1
2,1,3,10,"[0.29818891 0.42362321 1.22849767 4.20747641 3.57441661 1.01916514
 0.62957314 0.45125917]",53.08851623535156,0.04057471081614494,1
2,1,4,10,"[0.58491294 0.75374613 1.83180843 4.01741139 4.86223619 1.68743579
 0.99826019 0.67192604]",53.95576477050781,0.01294772233814001,1
2,2,0,10,"[0.4278355  0.73887634 1.59180291 5.38226867 4.01066256 1.1097981
 0.88746287 0.6697845 ]",15.635025978088379,13.273904800415039,1
2,2,1,10,"[0.30795806 0.38933154 1.02080466 2.66217269 4.70953524 1.63787135
 1.1936495  0.49964742]",103.48685455322266,0.01368002500385046,1
2,2,2,10,"[0.40335428 0.53352873 1.29253146 5.17388744 3.3356201  1.2350302
 1.01284519 0.64940523]",48.922218322753906,0.025073189288377762,1
2,3,0,10,"[0.20465785 0.30548008 0.68505792 3.25122322 2.6115356  0.97590299
 0.80391509 0.33746498]",69.72431182861328,0.004277026746422052,1
2,3,1,10,"[0.07549785 0.13277625 0.40251129 1.09906249 5.29082188 1.80388206
 0.41656918 0.28875553]",39.76706314086914,0.1561167985200882,1
3,0,0,10,"[0.34168328 0.50450578 1.20672898 4.18654586 4.16121527 1.66077684
 1.32666536 0.55358203]",41.515777587890625,0.09343381971120834,1
3,0,1,10,"[0.45084065 1.11981068 1.87754018 4.31352628 3.03305257 2.14625846
 0.78196136 0.95038368]",27.0220947265625,1.485303282737732,1
3,0,2,10,"[0.42710408 0.6542154  1.68215071 6.01624353 6.01654353 1.9439548
 1.50350518 0.62297206]",76.58303833007812,0.00045939444680698216,1
3,0,3,10,"[ 0.23994516  0.53799391  0.98479474  5.17376522 10.36591433  2.89362879
  0.94539908  0.59747545]",251.01622009277344,7.0655105030570375e-12,1
3,2,0,10,"[0.66349055 0.83998584 2.09635988 4.5197158  4.18367099 1.44429294
 1.12694026 0.93590615]",32.35724639892578,0.4280908703804016,1
3,2,1,10,"[0.32082937 0.65635683 2.1710345  6.69798031 2.29943006 1.06332498
 0.53364432 0.43036706]",39.86349868774414,0.11032044887542725,1
3,3,0,10,"[0.22724893 0.28850053 0.76783804 3.850002   3.61985892 0.77638655
 0.69321556 0.40895467]",27.668420791625977,0.7755995988845825,1
3,3,1,10,"[0.42374757 0.56678564 1.38693977 3.34370949 3.42024731 1.20000851
 0.88191621 0.6649189 ]",27.72507095336914,0.9906127452850342,1
3,3,2,10,"[0.3699154  0.49166838 1.50314158 6.56353171 3.5338133  0.97834255
 0.78596311 0.7208451 ]",28.09612274169922,0.8899718523025513,1
3,3,3,10,"[0.31468068 0.35163874 0.6670858  3.50796374 2.84707064 0.90793248
 0.60633859 0.50615477]",35.979530334472656,0.28395652770996094,1
3,3,4,10,"[0.37365201 0.75625485 1.58487828 4.99173901 3.13884478 1.02591207
 0.7848837  0.62381164]",30.109020233154297,0.7263317108154297,1
3,3,5,10,"[0.33642996 0.6527981  1.51916583 3.60191675 2.51355936 0.62823074
 0.41727887 0.50803287]",42.1842155456543,0.22261925041675568,1
3,3,6,10,"[0.40506074 0.55835326 1.20046301 3.68403946 4.09265187 1.16677966
 0.64189402 0.59385779]",27.41326332092285,0.9662584662437439,1
3,3,7,10,"[0.42857537 0.64118753 1.54881566 5.07391668 2.74075343 1.17738654
 0.60106661 0.43915476]",28.06780242919922,0.8931060433387756,1
3,3,8,10,"[0.5291093  0.8606112  2.19570207 7.31605177 4.81043855 1.31690428
 1.12664859 0.73649829]",15.893574714660645,14.963796615600586,1
3,3,9,10,"[0.36243438 0.56536622 1.1049574  3.52209792 3.6009606  1.08178389
 0.7391519  0.61190938]",44.808128356933594,0.06511472910642624,1
3,3,10,10,"[0.35076264 0.57818    1.61866813 3.96361761 3.44081758 1.02136945
 0.59006477 0.5489092 ]",47.874725341796875,0.03193740174174309,1
3,3,11,10,"[0.24599095 0.216774   0.71128953 3.8687568  2.12341652 0.45872961
 0.40747993 0.3359204 ]",25.39558219909668,2.2314555644989014,1
3,3,12,10,"[0.42673455 0.7731191  1.88137579 6.46655712 4.47683879 1.18824091
 0.65623922 0.67617001]",64.35833740234375,0.09890343993902206,1
3,3,13,10,"[0.35708575 0.67213825 1.33565301 4.56838271 4.25998164 1.31089115
 0.61794676 0.74291157]",37.60279083251953,0.16742853820323944,1
3,3,14,10,"[0.54559746 0.74709361 1.77589515 4.76125597 5.16100995 1.42773381
 1.04507912 0.71327938]",55.242393493652344,0.0215838011354208,1
3,3,15,10,"[0.3918493  0.51351235 1.42314164 3.6270541  3.37143032 1.07531966
 0.83819606 0.53915619]",27.718570709228516,0.8889232873916626,1
3,3,16,10,"[0.57760723 0.7854156  1.60782409 5.17151241 6.47483066 1.53400348
 1.25668069 1.14858357]",46.50810623168945,0.061747513711452484,1
3,3,17,10,"[0.29272704 0.46848724 1.37870284 3.71741996 2.6245823  0.87939022
 0.51494835 0.41458145]",14.31161117553711,11.009682655334473,1
3,3,18,10,"[0.28637162 0.45313862 0.951508   1.53023755 5.99507098 2.09452752
 1.08249741 0.38511206]",78.7930908203125,0.001821048790588975,1
3,3,19,10,"[0.51899742 0.73353766 1.53393624 4.02647115 4.7581543  1.4659858
 0.93175365 0.81237538]",33.547698974609375,0.443230539560318,1
3,3,20,10,"[0.42615466 0.68618587 1.70188543 5.3575608  4.87310946 1.03551618
 0.59376165 0.44767421]",23.236858367919922,3.1236443519592285,1
4,0,0,10,"[0.54597762 0.75590963 1.79896964 4.01341099 4.59478444 1.51426644
 1.18360552 1.0806891 ]",39.12385177612305,0.1289212554693222,1
